"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 20 00:20:08 IDT 2020","Thu Aug 20 00:20:19 IDT 2020","10549","Suite","Web Test with DB","SanityTests.WebProjectDB","SanityTests.WebProjectDB","test03_CheckOut","Test03: Check Out using DB","Description: Add billing info from DB and proceed to payment"
"passed","Thu Aug 20 00:19:41 IDT 2020","Thu Aug 20 00:19:56 IDT 2020","15001","Suite","Web Test with DB","SanityTests.WebProjectDB","SanityTests.WebProjectDB","test01_RegisterWithDB","Test01: Register to WebSite with DB","Description: Register to nopCommerce Website using credentials from DB, should show I am registered  to website"
"passed","Thu Aug 20 00:20:20 IDT 2020","Thu Aug 20 00:20:21 IDT 2020","1474","Suite","Web Test with DB","SanityTests.WebProjectDB","SanityTests.WebProjectDB","test04_verify_logo","Test04: Verify Logo","Description: Verify Logo is the same in all versions"
"passed","Thu Aug 20 00:19:57 IDT 2020","Thu Aug 20 00:20:08 IDT 2020","10868","Suite","Web Test with DB","SanityTests.WebProjectDB","SanityTests.WebProjectDB","test02_makeDonationWithDB","Test02: Make donation using sums from DB","Description: Add different donations to cart using amounts set on DB"
